Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"What is 3,426 + 1,275?","4,701","Regroup the ones (6 + 5 = 11) and tens (2 + 7 + 1 regrouped) to find the total of 4,701.",,"4,701","4,591","4,711","4,621",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"What is 5,389 + 2,768?","8,157","Add ones (9 + 8 = 17), regroup to tens, continue through hundreds and thousands for a sum of 8,157.",,"8,057","8,157","7,157","8,267",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"Calculate 8,745 + 3,659.","12,404","Regroup in each place value: 5 + 9 = 14 (ones), 4 + 5 + 1 = 10 (tens), 7 + 6 + 1 = 14 (hundreds), 8 + 3 + 1 = 12 (thousands).",,"12,404","12,314","12,504","12,054",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"Find the sum of 6,208 + 4,593.","10,801","Regroup ones (8 + 3 = 11), tens (0 + 9 + 1 = 10), hundreds (2 + 5 + 1 = 8), and thousands (6 + 4 + 1 = 11) to total 10,801.",,"10,801","10,711","10,913","11,801",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"Add 9,302 and 2,487.","11,789","Regroup ones (2 + 7 = 9), tens (0 + 8 = 8), hundreds (3 + 4 = 7), thousands (9 + 2 = 11) to get 11,789.",,"11,689","11,789","12,789","11,587",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"What is 7,416 + 5,978?","13,394","After regrouping the ones (6 + 8 = 14) and tens (1 + 7 + 1 = 9), the hundreds (4 + 9 + 1 = 14) and thousands (7 + 5 + 1 = 13) give 13,394.",,"13,394","13,384","13,494","13,304",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"Select each equation that equals 10,584.",OptionA;OptionC,"Both 6,347 + 4,237 and 7,128 + 3,456 require regrouping and total 10,584.",,"6,347 + 4,237","5,895 + 4,609","7,128 + 3,456","8,203 + 2,321",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Select All That Apply,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"Liam combines 3,758 marbles with 2,946 more. How many marbles does he have now?","6,704","Add 3,758 and 2,946, regrouping the tens and hundreds to reach 6,704.",,"6,604","6,704","6,708","6,744",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"Find 4,509 + 3,876.","8,385","Regroup the ones (9 + 6 = 15) and tens (0 + 7 + 1 = 8) to total 8,385.",,"8,285","8,385","8,395","8,475",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"What is 4,678 + 5,324?","10,002","Regrouping yields ones: 8 + 4 = 12, tens: 7 + 2 + 1 = 10, hundreds: 6 + 3 + 1 = 10, thousands: 4 + 5 + 1 = 10, giving 10,002.",,"10,002","10,012","9,902","10,022",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"Mika adds 4,875 and 3,658. What is the sum?","8,533","After regrouping ones (5 + 8 = 13) and tens (7 + 5 + 1 = 13), continue to hundreds (8 + 6 + 1 = 15) and thousands (4 + 3 + 1 = 8) for 8,533.",,"8,423","8,533","8,553","8,635",,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
"When adding 5,999 + 2,405, which digit is in the ones place of the sum?",4,"5,999 + 2,405 = 8,404, so the ones place digit is 4.",,2,4,5,8,,,,Chapter 2: Addition & Subtraction,Assessment Item,Adding 3-digit and 4-digit numbers with regrouping,Multiple Choice,Chapter 2: Addition & Subtraction/Adding 3-digit and 4-digit numbers with regrouping
