Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"Which numeral matches the word ""eleven""?",A,The word eleven stands for the numeral 11.,,11,12,10,13,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q1,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
Which word names the numeral 12?,B,The numeral 12 is written with the word twelve.,,thirteen,twelve,eleven,fourteen,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q2,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
"Which numeral matches the word ""thirteen""?",C,The word thirteen stands for the numeral 13.,,12,14,13,15,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q3,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
Which word names the numeral 14?,D,The numeral 14 is written with the word fourteen.,,sixteen,fifteen,thirteen,fourteen,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q4,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
"Which numeral matches the word ""fifteen""?",A,The word fifteen stands for the numeral 15.,,15,16,14,17,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q5,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
Which word names the numeral 16?,B,The numeral 16 is written with the word sixteen.,,seventeen,sixteen,fifteen,eighteen,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q6,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
"Which numeral matches the word ""seventeen""?",C,The word seventeen stands for the numeral 17.,,16,18,17,19,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q7,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
Which word names the numeral 18?,D,The numeral 18 is written with the word eighteen.,,twenty,nineteen,seventeen,eighteen,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q8,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
"Which numeral matches the word ""nineteen""?",A,The word nineteen stands for the numeral 19.,,19,20,18,21,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q9,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
Which word names the numeral 20?,B,The numeral 20 is written with the word twenty.,,zero,twenty,nineteen,one,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q10,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
"Which numeral matches the word ""eleven""?",C,The word eleven stands for the numeral 11.,,10,12,11,13,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q11,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
Which word names the numeral 13?,D,The numeral 13 is written with the word thirteen.,,fifteen,fourteen,twelve,thirteen,,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q12,Multiple Choice,Chapter 2/Recognizing Numbers 11-20
Select each numeral that is less than 5.,"A,C,E",Choose every option that fits the rule in the prompt.,,2,7,4,9,1,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q13,Select All That Apply,Chapter 2/Recognizing Numbers 11-20
Select each word that names an even number.,"B,C,E",Choose every option that fits the rule in the prompt.,,three,six,ten,five,eight,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q14,Select All That Apply,Chapter 2/Recognizing Numbers 11-20
Select each number word that is greater than 8.,"A,C,E",Choose every option that fits the rule in the prompt.,,nine,four,eleven,seven,ten,,,Chapter 2: Number Recognition and Writing,Question,Recognizing Numbers 11-20 Q15,Select All That Apply,Chapter 2/Recognizing Numbers 11-20
