Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What is 8 + 6?,A,Adding 8 and 6 gives 14.,,14,13,15,12,,,,Chapter 3: Addition,Question,Addition Within 20 Q1,Multiple Choice,Chapter 3/Adding Within 20
What is 9 + 7?,A,Adding 9 and 7 gives 16.,,16,15,17,14,,,,Chapter 3: Addition,Question,Addition Within 20 Q2,Multiple Choice,Chapter 3/Adding Within 20
What is 5 + 4?,A,Adding 5 and 4 gives 9.,,9,8,10,7,,,,Chapter 3: Addition,Question,Addition Within 20 Q3,Multiple Choice,Chapter 3/Adding Within 20
What is 12 + 3?,A,Adding 12 and 3 gives 15.,,15,14,16,13,,,,Chapter 3: Addition,Question,Addition Within 20 Q4,Multiple Choice,Chapter 3/Adding Within 20
What is 6 + 8?,A,Adding 6 and 8 gives 14.,,14,13,15,12,,,,Chapter 3: Addition,Question,Addition Within 20 Q5,Multiple Choice,Chapter 3/Adding Within 20
What is 7 + 5?,A,Adding 7 and 5 gives 12.,,12,11,13,10,,,,Chapter 3: Addition,Question,Addition Within 20 Q6,Multiple Choice,Chapter 3/Adding Within 20
What is 11 + 6?,A,Adding 11 and 6 gives 17.,,17,16,18,15,,,,Chapter 3: Addition,Question,Addition Within 20 Q7,Multiple Choice,Chapter 3/Adding Within 20
What is 13 + 4?,A,Adding 13 and 4 gives 17.,,17,16,18,15,,,,Chapter 3: Addition,Question,Addition Within 20 Q8,Multiple Choice,Chapter 3/Adding Within 20
What is 10 + 9?,A,Adding 10 and 9 gives 19.,,19,18,20,17,,,,Chapter 3: Addition,Question,Addition Within 20 Q9,Multiple Choice,Chapter 3/Adding Within 20
Find the sum: 4 + 4 + 2,A,Adding the numbers together gives 10.,,10,8,12,9,,,,Chapter 3: Addition,Question,Addition Within 20 Q10,Multiple Choice,Chapter 3/Adding Within 20
Find the sum: 3 + 7 + 5,A,Adding the numbers together gives 15.,,15,13,17,14,,,,Chapter 3: Addition,Question,Addition Within 20 Q11,Multiple Choice,Chapter 3/Adding Within 20
Find the sum: 2 + 9 + 6,A,Adding the numbers together gives 17.,,17,15,19,16,,,,Chapter 3: Addition,Question,Addition Within 20 Q12,Multiple Choice,Chapter 3/Adding Within 20
Select all number sentences that equal 12.,"A,C,D","6 + 6, 8 + 4, and 5 + 7 each add to 12; 9 + 2 equals 11.",,6 + 6,9 + 2,8 + 4,5 + 7,,,,Chapter 3: Addition,Question,Addition Within 20 Q13,Select All That Apply,Chapter 3/Adding Within 20
What number makes this true: 8 + __ = 15?,B,"15 - 8 = 7, so adding 7 makes 15.",,7,6,8,5,,,,Chapter 3: Addition,Question,Addition Within 20 Q14,Multiple Choice,Chapter 3/Adding Within 20
What is 14 + 5?,A,14 plus 5 equals 19.,,19,18,17,20,,,,Chapter 3: Addition,Question,Addition Within 20 Q15,Multiple Choice,Chapter 3/Adding Within 20
