Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What is 0 + 2?,A,0 plus 2 equals 2.,,2,3,1,4,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q1,Multiple Choice,Chapter 5/Adding within 5
Solve: 1 + 3 = __,B,1 plus 3 equals 4.,,5,4,3,6,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q2,Multiple Choice,Chapter 5/Adding within 5
Add 2 and 2. What is the sum?,C,2 plus 2 equals 4.,,3,5,4,6,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q3,Multiple Choice,Chapter 5/Adding within 5
What is 4 + 1?,D,4 plus 1 equals 5.,,7,6,4,5,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q4,Multiple Choice,Chapter 5/Adding within 5
Solve: 3 + 0 = __,A,3 plus 0 equals 3.,,3,4,2,5,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q5,Multiple Choice,Chapter 5/Adding within 5
Add 1 and 4. What is the sum?,B,1 plus 4 equals 5.,,6,5,4,7,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q6,Multiple Choice,Chapter 5/Adding within 5
What is 2 + 3?,C,2 plus 3 equals 5.,,4,6,5,7,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q7,Multiple Choice,Chapter 5/Adding within 5
Solve: 5 + 0 = __,D,5 plus 0 equals 5.,,7,6,4,5,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q8,Multiple Choice,Chapter 5/Adding within 5
Add 0 and 5. What is the sum?,A,0 plus 5 equals 5.,,5,6,4,7,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q9,Multiple Choice,Chapter 5/Adding within 5
What is 3 + 1?,B,3 plus 1 equals 4.,,5,4,3,6,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q10,Multiple Choice,Chapter 5/Adding within 5
Solve: 0 + 4 = __,C,0 plus 4 equals 4.,,3,5,4,6,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q11,Multiple Choice,Chapter 5/Adding within 5
Add 2 and 1. What is the sum?,D,2 plus 1 equals 3.,,5,4,2,3,,,,Chapter 5: Addition Basics,Question,Adding within 5 Q12,Multiple Choice,Chapter 5/Adding within 5
Select each equation that equals 4.,"A,B,C,E",These equations make 4; 3 + 2 makes 5 instead.,,1 + 3,2 + 2,4 + 0,3 + 2,0 + 4,,,Chapter 5: Addition Basics,Question,Adding within 5 Q13,Select All That Apply,Chapter 5/Adding within 5
Select each expression that has a sum of 5.,"A,B,C,E",Any pair that totals 5 is correct.,,3 + 2,4 + 1,2 + 3,1 + 1,0 + 5,,,Chapter 5: Addition Basics,Question,Adding within 5 Q14,Select All That Apply,Chapter 5/Adding within 5
Select each sum that is less than 3.,"A,B,D","The first, second, and fourth expressions are less than 3.",,0 + 0,1 + 1,2 + 2,1 + 0,3 + 0,,,Chapter 5: Addition Basics,Question,Adding within 5 Q15,Select All That Apply,Chapter 5/Adding within 5
