Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What is 43 + 6?,A,Add the ones to get 49.,,49,48,50,47,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q1,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
What is 58 + 7?,A,Add the ones to get 65.,,65,64,66,63,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q2,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
What is 67 + 5?,A,Add the ones to get 72.,,72,71,73,70,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q3,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
What is 24 + 9?,A,Add the ones to get 33.,,33,32,34,31,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q4,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
What is 35 + 8?,A,Add the ones to get 43.,,43,42,44,41,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q5,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
What is 72 + 4?,A,Add the ones to get 76.,,76,75,77,74,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q6,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
What is 86 + 3?,A,Add the ones to get 89.,,89,88,90,87,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q7,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
What is 49 + 2?,A,Add the ones to get 51.,,51,50,52,49,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q8,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
Solve: 57 + 6,A,Add the one-digit number to the ones place to get 63.,,63,62,64,61,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q9,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
Solve: 68 + 5,A,Add the one-digit number to the ones place to get 73.,,73,72,74,71,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q10,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
Solve: 29 + 8,A,Add the one-digit number to the ones place to get 37.,,37,36,38,35,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q11,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
Select all sums greater than 70.,"A,C",64 + 7 = 71 and 68 + 5 = 73 are greater than 70.,,64 + 7,52 + 4,68 + 5,45 + 9,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q12,Select All That Apply,Chapter 5/Two-Digit Plus One-Digit
What is 34 + 7?,A,Add 7 ones to 34 to get 41.,,41,39,42,40,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q13,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
Which equation shows a two-digit number plus a one-digit number?,A,43 is a two-digit number and 5 is a one-digit number.,,43 + 5,30 + 40,18 + 12,55 + 20,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q14,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
Find the sum: 75 + 4.,A,Add 4 ones to 75 to get 79.,,79,78,80,81,,,,Chapter 5: Addition & Subtraction to 100,Question,Two-Digit Plus One-Digit Q15,Multiple Choice,Chapter 5/Two-Digit Plus One-Digit
