Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What is 10 - 2?,A,10 minus 2 equals 8.,,8,9,7,10,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q1,Multiple Choice,Chapter 6/Subtracting within 10
Solve: 9 - 4 = __,B,9 minus 4 equals 5.,,6,5,4,7,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q2,Multiple Choice,Chapter 6/Subtracting within 10
Take away 3 from 8. What is left?,C,8 minus 3 equals 5.,,4,6,5,7,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q3,Multiple Choice,Chapter 6/Subtracting within 10
What is 7 - 5?,D,7 minus 5 equals 2.,,4,3,1,2,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q4,Multiple Choice,Chapter 6/Subtracting within 10
Solve: 6 - 2 = __,A,6 minus 2 equals 4.,,4,5,3,6,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q5,Multiple Choice,Chapter 6/Subtracting within 10
Take away 1 from 9. What is left?,B,9 minus 1 equals 8.,,9,8,7,10,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q6,Multiple Choice,Chapter 6/Subtracting within 10
What is 8 - 6?,C,8 minus 6 equals 2.,,1,3,2,4,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q7,Multiple Choice,Chapter 6/Subtracting within 10
Solve: 10 - 5 = __,D,10 minus 5 equals 5.,,7,6,4,5,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q8,Multiple Choice,Chapter 6/Subtracting within 10
Take away 2 from 7. What is left?,A,7 minus 2 equals 5.,,5,6,4,7,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q9,Multiple Choice,Chapter 6/Subtracting within 10
What is 6 - 4?,B,6 minus 4 equals 2.,,3,2,1,4,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q10,Multiple Choice,Chapter 6/Subtracting within 10
Solve: 9 - 7 = __,C,9 minus 7 equals 2.,,1,3,2,4,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q11,Multiple Choice,Chapter 6/Subtracting within 10
Take away 3 from 10. What is left?,D,10 minus 3 equals 7.,,9,8,6,7,,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q12,Multiple Choice,Chapter 6/Subtracting within 10
Select each subtraction fact that equals 6.,"A,B,C,D,E",Each listed subtraction makes 6.,,9 - 3,8 - 2,10 - 4,7 - 1,6 - 0,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q13,Select All That Apply,Chapter 6/Subtracting within 10
Select each expression that equals 4.,"A,B,C,E",All but 10 - 7 equal 4; 10 - 7 equals 3.,,9 - 5,7 - 3,8 - 4,10 - 7,6 - 4,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q14,Select All That Apply,Chapter 6/Subtracting within 10
Select each difference greater than 2.,"A,C,E",Those differences are more than 2.,,8 - 5,7 - 6,9 - 4,10 - 8,6 - 3,,,Chapter 6: Subtraction Basics,Question,Subtracting within 10 Q15,Select All That Apply,Chapter 6/Subtracting within 10
