Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
What time is shown? The hour hand points to 3 and the minute hand points to 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 3:00.",,3:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q1,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand is on 7 and the minute hand is on 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 7:00.",,7:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q2,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand is on 11 and the minute hand is on 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 11:00.",,11:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q3,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand is on 5 and the minute hand is on 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 5:00.",,5:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q4,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand points to 9 with the minute hand on 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 9:00.",,9:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q5,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand is on 2 with the minute hand on 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 2:00.",,2:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q6,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand points to 8 with the minute hand at 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 8:00.",,8:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q7,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand is on 10 with the minute hand on 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 10:00.",,10:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q8,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand points to 4 and the minute hand points to 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 4:00.",,4:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q9,Multiple Choice,Chapter 8/Reading Clocks to Hour
What time is shown? The hour hand is on 6 with the minute hand on 12.,A,"When the minute hand is on 12, the time is on the hour, so it is 6:00.",,6:00,3:30,12:00,6:30,,,,Chapter 8: Time,Question,Time to Hour Q10,Multiple Choice,Chapter 8/Reading Clocks to Hour
Select all clocks that show 1:00.,A,At 1:00 the hour hand points to 1 and the minute hand to 12.,,"Hour hand on 1, minute hand on 12","Hour hand on 12, minute hand on 1","Hour hand on 1, minute hand on 6","Hour hand on 5, minute hand on 12",,,,Chapter 8: Time,Question,Time to Hour Q11,Select All That Apply,Chapter 8/Reading Clocks to Hour
"If the hour hand is on 12 and minute hand on 12, what time is it?",A,Both hands at 12 show 12:00.,,12:00,6:00,3:00,9:00,,,,Chapter 8: Time,Question,Time to Hour Q12,Multiple Choice,Chapter 8/Reading Clocks to Hour
Select all times that show the hour exactly.,"A,C",Times ending in :00 are on the hour.,,4:00,4:30,7:00,7:15,,,,Chapter 8: Time,Question,Time to Hour Q13,Select All That Apply,Chapter 8/Reading Clocks to Hour
"When the clock shows 1:00, where is the minute hand?",A,"On the hour, the minute hand is on 12.",,On 12,On 1,On 6,On 3,,,,Chapter 8: Time,Question,Time to Hour Q14,Multiple Choice,Chapter 8/Reading Clocks to Hour
"If it is 4:00 now, what time will it be one hour later?",A,Adding one hour to 4:00 gives 5:00.,,5:00,4:30,6:00,3:00,,,,Chapter 8: Time,Question,Time to Hour Q15,Multiple Choice,Chapter 8/Reading Clocks to Hour
