Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"A picture graph shows apples 🍎🍎🍎, bananas 🍌🍌, and oranges 🍊🍊🍊🍊. Each picture stands for one vote. Which fruit has the most votes?",C,Oranges shows the most pictures.,,Apples,Bananas,Oranges,They all tie,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q1,Multiple Choice,Chapter 10/Making a Picture Graph
"The graph shows apples 🍎🍎, bananas 🍌, and oranges 🍊🍊. Each picture stands for one fruit. How many bananas are shown?",A,There are 1 banana pictures.,,1,2,2,4,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q2,Multiple Choice,Chapter 10/Making a Picture Graph
"The picture graph displays apples 🍎🍎🍎🍎, bananas 🍌🍌🍌, and oranges 🍊. Each picture equals one student. How many more oranges than bananas are there?",A,"There are 1 oranges and 3 bananas, so the difference is -2.",,-2,2,1,5,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q3,Multiple Choice,Chapter 10/Making a Picture Graph
"A picture graph shows apples 🍎, bananas 🍌🍌🍌🍌, and oranges 🍊🍊. Each picture equals one vote. Which fruit has the most votes?",B,Bananas shows the most pictures.,,Apples,Bananas,Oranges,They all tie,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q4,Multiple Choice,Chapter 10/Making a Picture Graph
"The graph shows apples 🍎🍎🍎🍎🍎, bananas 🍌🍌, and oranges 🍊🍊🍊. Each picture stands for one vote. How many bananas are shown?",A,There are 2 banana pictures.,,2,5,3,8,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q5,Multiple Choice,Chapter 10/Making a Picture Graph
"The picture graph displays apples 🍎🍎🍎, bananas 🍌🍌🍌, and oranges 🍊🍊🍊. Each picture equals one vote. How many more oranges than bananas are there?",A,"There are 3 oranges and 3 bananas, so the difference is 0.",,0,0,0,6,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q6,Multiple Choice,Chapter 10/Making a Picture Graph
"A picture graph shows apples 🍎🍎, bananas 🍌🍌🍌🍌, and oranges 🍊. Each picture equals one vote. Which fruit has the most votes?",B,Bananas shows the most pictures.,,Apples,Bananas,Oranges,They all tie,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q7,Multiple Choice,Chapter 10/Making a Picture Graph
"The graph shows apples 🍎🍎🍎🍎, bananas 🍌🍌🍌🍌🍌, and oranges 🍊🍊. Each picture equals one student. How many bananas are shown?",A,There are 5 banana pictures.,,5,4,2,6,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q8,Multiple Choice,Chapter 10/Making a Picture Graph
"The picture graph displays apples 🍎🍎🍎🍎🍎🍎, bananas 🍌🍌🍌, and oranges 🍊🍊🍊🍊. Each picture equals one vote. How many more oranges than bananas are there?",A,"There are 4 oranges and 3 bananas, so the difference is 1.",,1,-1,3,10,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q9,Multiple Choice,Chapter 10/Making a Picture Graph
"A picture graph shows apples 🍎🍎🍎, bananas 🍌🍌, and oranges 🍊🍊🍊🍊🍊. Each picture equals one vote. Which fruit has the most votes?",C,Oranges shows the most pictures.,,Apples,Bananas,Oranges,They all tie,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q10,Multiple Choice,Chapter 10/Making a Picture Graph
"The graph shows apples 🍎🍎🍎🍎🍎, bananas 🍌🍌🍌🍌, and oranges 🍊🍊. Each picture equals one vote. How many bananas are shown?",A,There are 4 banana pictures.,,4,5,2,7,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q11,Multiple Choice,Chapter 10/Making a Picture Graph
"The picture graph displays apples 🍎🍎🍎🍎, bananas 🍌🍌🍌, and oranges 🍊🍊🍊. Each picture equals one vote. How many more oranges than bananas are there?",A,"There are 3 oranges and 3 bananas, so the difference is 0.",,0,0,1,7,,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q12,Multiple Choice,Chapter 10/Making a Picture Graph
Select each statement true for apples 🍎🍎🍎🍎 and bananas 🍌🍌🍌.,"A,C","There are 4 apples and 3 bananas, total 7, so apples have one more.",,Apples have one more vote than bananas,Bananas have more votes,Seven votes were counted,Bananas have the same as apples,Apples have three votes,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q13,Select All That Apply,Chapter 10/Making a Picture Graph
"Select each conclusion true for apples 🍎🍎, bananas 🍌🍌🍌, oranges 🍊🍊🍊🍊.","A,C,D","Oranges have 4, bananas 3, apples 2, total 9.",,Oranges have the most,Bananas and oranges tie,Apples have the fewest,Nine votes were counted,Apples and bananas match,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q14,Select All That Apply,Chapter 10/Making a Picture Graph
Select each picture graph rule that would show 12 oranges if each 🍊 stands for 3 oranges.,A,Four symbols worth 3 each total 12 oranges.,,🍊🍊🍊🍊,🍊🍊🍊,🍊🍊,🍊🍊🍊🍊🍊,🍊,,,Chapter 10: Data and Graphs,Question,Making a Picture Graph Q15,Select All That Apply,Chapter 10/Making a Picture Graph
