Question,Answer,Explanation,PictureURL,OptionA,OptionB,OptionC,OptionD,OptionE,OptionF,OptionG,TestName,Content Type,Title Item,Type,Path
"On a number line from 0 to 1 divided into 4 equal parts, what fraction is located at the first mark?",B,The first mark out of four equal parts represents 1/4.,,0,1/4,2/4,3/4,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q1,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
Which fraction is represented by a point halfway between 0 and 1 on the number line?,C,Halfway between 0 and 1 is 1/2.,,1/3,1/4,1/2,3/4,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q2,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
A number line from 0 to 1 is divided into 8 equal parts. Which fraction names the point three marks past 0?,A,Three of eight equal parts past 0 is written as 3/8.,,3/8,1/3,5/8,7/8,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q3,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
Select each fraction that could be shown on a number line between 0 and 1 with thirds marked.,A;B,"On a thirds number line, you can land on 1/3 and 2/3 between 0 and 1.",,1/3,2/3,3/3,4/3,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q4,Select All That Apply,Chapter 6: Fractions/Fractions on number lines
Where would the fraction 5/6 appear on a number line from 0 to 1 divided into sixths?,D,"In sixths, each step is 1/6; five steps past 0 is 5/6, just before 1.",,At 0,At the first mark,Halfway,Just before 1,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q5,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
A point is located at 0.75 on a number line. Which fraction matches this point?,C,0.75 is equivalent to 3/4 on a number line.,,1/2,2/3,3/4,4/5,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q6,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
"On a number line from 0 to 2 marked in halves, what fraction is at 1 and one-half?",B,"In halves between 1 and 2, one step is 1/2, so the point at 1 and one-half is 3/2.",,2/2,3/2,4/2,5/2,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q7,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
Which point shows the fraction 2/5 on a number line between 0 and 1 divided into fifths?,A,2/5 is two of the five equal steps from 0.,,Two marks past 0,At the halfway point,Four marks past 0,Just before 0,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q8,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
A number line from 0 to 3 is marked in thirds. Which fraction is at the point one whole and two-thirds?,C,"One whole is 3/3, plus 2/3 equals 5/3.",,4/3,6/3,5/3,2/3,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q9,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
Select each description that matches the point 1/2 on a number line.,B;D,1/2 is halfway between 0 and 1 and the second mark if the line is divided into four equal parts.,,The first tick mark when divided into thirds,The point halfway between 0 and 1,The third tick mark when divided into fifths,The second mark when divided into fourths,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q10,Select All That Apply,Chapter 6: Fractions/Fractions on number lines
"If a point is at 1 1/4 on a number line, how many quarter steps past 1 is it?",D,"Each quarter step is 1/4, and 1 1/4 is one quarter beyond 1, so it is one quarter step past 1.",,Zero quarter steps,Two quarter steps,Three quarter steps,One quarter step,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q11,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
Which fraction is located exactly halfway between 1/4 and 1/2 on a number line?,B,Halfway between 1/4 and 1/2 is 3/8.,,1/3,3/8,2/5,5/8,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q12,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
"On a number line divided into tenths, what fraction is three marks before 1?",C,Three marks before 1 in tenths is 7/10.,,1/10,3/10,7/10,9/10,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q13,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
"A number line shows 0, 1/6, 2/6, 3/6, and so on. Which fraction is located at the same point as 3/6?",A,"3/6 reduces to 1/2, so it is the same point as 1/2 on the number line.",,1/2,1/3,2/3,5/6,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q14,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
"If a jumping frog lands at 1 3/4 on a number line, how many quarter intervals from 0 has it traveled?",C,Each interval is 1/4; 1 3/4 equals 7 quarter intervals from 0.,,4,5,7,9,,,,Chapter 6: Fractions,Assessment,Fractions on Number Lines Q15,Multiple Choice,Chapter 6: Fractions/Fractions on number lines
